index,p0re,p0im,p1re,p1im
549,-1.03071,0.81231,-0.87282,-0.96915
550,-0.99207,0.81199,-0.86539,-0.93646
551,-0.95059,0.81259,-0.85890,-0.90391
552,-0.90645,0.81382,-0.85345,-0.87167
553,-0.85974,0.81555,-0.84901,-0.83983
554,-0.81069,0.81786,-0.84573,-0.80858
555,-0.75947,0.82044,-0.84346,-0.77809
556,-0.70623,0.82318,-0.84228,-0.74836
557,-0.65112,0.82622,-0.84214,-0.71954
558,-0.59444,0.82914,-0.84304,-0.69182
559,-0.53620,0.83190,-0.84510,-0.66519
560,-0.47682,0.83447,-0.84817,-0.63982
561,-0.41637,0.83672,-0.85225,-0.61585
562,-0.35519,0.83856,-0.85734,-0.59326
563,-0.29339,0.83982,-0.86337,-0.57211
564,-0.23121,0.84053,-0.87025,-0.55248
565,-0.16887,0.84059,-0.87789,-0.53447
566,-0.10655,0.83986,-0.88629,-0.51813
567,-0.04453,0.83837,-0.89533,-0.50349
568,0.01696,0.83597,-0.90479,-0.49059
569,0.07792,0.83277,-0.91464,-0.47952
570,0.13798,0.82849,-0.92488,-0.47012
571,0.19703,0.82336,-0.93526,-0.46246
572,0.25507,0.81724,-0.94571,-0.45655
